"","ï..date","state","stay_at_home","non_essential_business_closure","large_gathering_ban","school_closure","bar_restaurant_limits","primary_election_postponed","emergency_declaration","adult_under_60","adult_over_60","risk_under_60","risk_over_60","hospital_beds","beds_per_thousand","total_chc","total_chc_delivery_sites"
"42","3-Mar","Alabama","0","0",999,"0","0","0","0","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"43","4-Mar","Alabama","0","0",999,"0","0","0","0","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"44","5-Mar","Alabama","0","0",999,"0","0","0","0","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"45","6-Mar","Alabama","0","0",999,"0","0","0","0","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"46","7-Mar","Alabama","0","0",999,"0","0","0","0","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"47","8-Mar","Alabama","0","0",999,"0","0","0","0","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"48","9-Mar","Alabama","0","0",999,"0","0","0","0","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"49","10-Mar","Alabama","0","0",999,"0","0","0","0","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"50","11-Mar","Alabama","0","0",999,"0","0","0","0","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"51","12-Mar","Alabama","0","0",999,"0","0","0","0","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"52","13-Mar","Alabama","0","0",999,"0","0","0","1","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"53","14-Mar","Alabama","0","0",999,"0","0","0","1","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"54","15-Mar","Alabama","0","0",999,"0","0","0","1","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"55","16-Mar","Alabama","0","0",999,"0","0","0","1","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"56","17-Mar","Alabama","0","0",25,"1","1","0","1","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"57","18-Mar","Alabama","0","0",25,"1","1","1","1","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"58","19-Mar","Alabama","0","0",25,"1","1","1","1","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"59","20-Mar","Alabama","0","0",25,"1","1","1","1","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"60","21-Mar","Alabama","0","0",25,"1","1","1","1","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"61","22-Mar","Alabama","0","0",25,"1","1","1","1","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"62","23-Mar","Alabama","0","0",25,"1","1","1","1","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"63","24-Mar","Alabama","0","0",25,"1","1","1","1","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"64","25-Mar","Alabama","0","0",25,"1","1","1","1","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"65","26-Mar","Alabama","0","0",25,"1","1","1","1","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"66","22-Jan","Alaska","0","0",999,"0","0","0","0","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"67","23-Jan","Alaska","0","0",999,"0","0","0","0","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"68","24-Jan","Alaska","0","0",999,"0","0","0","0","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"69","25-Jan","Alaska","0","0",999,"0","0","0","0","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"70","26-Jan","Alaska","0","0",999,"0","0","0","0","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"71","27-Jan","Alaska","0","0",999,"0","0","0","0","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"72","28-Jan","Alaska","0","0",999,"0","0","0","0","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"73","29-Jan","Alaska","0","0",999,"0","0","0","0","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"74","30-Jan","Alaska","0","0",999,"0","0","0","0","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"75","31-Jan","Alaska","0","0",999,"0","0","0","0","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"76","1-Feb","Alaska","0","0",999,"0","0","0","0","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"77","2-Feb","Alaska","0","0",999,"0","0","0","0","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"78","3-Feb","Alaska","0","0",999,"0","0","0","0","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"79","4-Feb","Alaska","0","0",999,"0","0","0","0","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"80","5-Feb","Alaska","0","0",999,"0","0","0","0","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"81","6-Feb","Alaska","0","0",999,"0","0","0","0","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"82","7-Feb","Alaska","0","0",999,"0","0","0","0","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"83","8-Feb","Alaska","0","0",999,"0","0","0","0","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"84","9-Feb","Alaska","0","0",999,"0","0","0","0","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"85","10-Feb","Alaska","0","0",999,"0","0","0","0","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"86","11-Feb","Alaska","0","0",999,"0","0","0","0","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"87","12-Feb","Alaska","0","0",999,"0","0","0","0","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"88","13-Feb","Alaska","0","0",999,"0","0","0","0","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"89","14-Feb","Alaska","0","0",999,"0","0","0","0","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"90","15-Feb","Alaska","0","0",999,"0","0","0","0","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"91","16-Feb","Alaska","0","0",999,"0","0","0","0","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"92","17-Feb","Alaska","0","0",999,"0","0","0","0","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"93","18-Feb","Alaska","0","0",999,"0","0","0","0","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"94","19-Feb","Alaska","0","0",999,"0","0","0","0","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"95","20-Feb","Alaska","0","0",999,"0","0","0","0","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"96","21-Feb","Alaska","0","0",999,"0","0","0","0","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"97","22-Feb","Alaska","0","0",999,"0","0","0","0","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"98","23-Feb","Alaska","0","0",999,"0","0","0","0","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"99","24-Feb","Alaska","0","0",999,"0","0","0","0","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"100","25-Feb","Alaska","0","0",999,"0","0","0","0","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"101","26-Feb","Alaska","0","0",999,"0","0","0","0","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"102","27-Feb","Alaska","0","0",999,"0","0","0","0","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"103","28-Feb","Alaska","0","0",999,"0","0","0","0","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"104","29-Feb","Alaska","0","0",999,"0","0","0","0","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"105","1-Mar","Alaska","0","0",999,"0","0","0","0","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"106","2-Mar","Alaska","0","0",999,"0","0","0","0","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"107","3-Mar","Alaska","0","0",999,"0","0","0","0","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"108","4-Mar","Alaska","0","0",999,"0","0","0","0","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"109","5-Mar","Alaska","0","0",999,"0","0","0","0","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"110","6-Mar","Alaska","0","0",999,"0","0","0","0","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"111","7-Mar","Alaska","0","0",999,"0","0","0","0","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"112","8-Mar","Alaska","0","0",999,"0","0","0","0","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"113","9-Mar","Alaska","0","0",999,"0","0","0","0","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"114","10-Mar","Alaska","0","0",999,"0","0","0","0","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"115","11-Mar","Alaska","0","0",999,"0","0","0","1","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"116","12-Mar","Alaska","0","0",999,"0","0","0","1","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"117","13-Mar","Alaska","0","0",999,"1","0","0","1","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"118","14-Mar","Alaska","0","0",999,"1","0","0","1","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"119","15-Mar","Alaska","0","0",999,"1","0","0","1","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"120","16-Mar","Alaska","0","0",999,"1","0","0","1","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"121","17-Mar","Alaska","1","0",999,"1","1","0","1","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"122","18-Mar","Alaska","1","0",999,"1","1","0","1","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"123","19-Mar","Alaska","1","0",999,"1","1","0","1","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"124","20-Mar","Alaska","1","0",999,"1","1","0","1","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"125","21-Mar","Alaska","1","1",10,"1","1","0","1","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"126","22-Mar","Alaska","1","1",10,"1","1","0","1","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"127","23-Mar","Alaska","1","1",10,"1","1","0","1","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"128","24-Mar","Alaska","1","1",10,"1","1","0","1","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"129","25-Mar","Alaska","1","1",10,"1","1","0","1","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"130","26-Mar","Alaska","1","1",10,"1","1","0","1","419,878","136,512","59,930","136,510","1,636","2.23","27","193"
"131","22-Jan","Arizona","0","0",999,"0","0","0","0","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"132","23-Jan","Arizona","0","0",999,"0","0","0","0","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"133","24-Jan","Arizona","0","0",999,"0","0","0","0","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"134","25-Jan","Arizona","0","0",999,"0","0","0","0","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"135","26-Jan","Arizona","0","0",999,"0","0","0","0","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"136","27-Jan","Arizona","0","0",999,"0","0","0","0","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
"137","28-Jan","Arizona","0","0",999,"0","0","0","0","3,810,152","1,687,168","633,770","1,687,160","13,846","1.93","20","188"
